Date,Open,High,Low,Close
10/01/2018 22:30,1.19572,1.19641,1.19559,1.19559
10/01/2018 22:35,1.19558,1.19563,1.1945,1.19476
10/01/2018 22:40,1.19473,1.19515,1.19455,1.19488
10/01/2018 22:45,1.1949,1.19528,1.19482,1.19508
10/01/2018 22:50,1.19509,1.19557,1.19507,1.19551
10/01/2018 22:55,1.19552,1.19554,1.19516,1.19534
10/01/2018 23:00,1.19533,1.19544,1.19517,1.19517
10/01/2018 23:05,1.19519,1.19533,1.19497,1.19514
10/01/2018 23:10,1.19517,1.19528,1.19495,1.19503
10/01/2018 23:15,1.19504,1.19505,1.19454,1.19455
10/01/2018 23:20,1.19456,1.19477,1.19447,1.19447
10/01/2018 23:25,1.19445,1.1947,1.19445,1.19462
10/01/2018 23:30,1.19462,1.19479,1.19435,1.19464
10/01/2018 23:35,1.19462,1.19464,1.19424,1.19447
10/01/2018 23:40,1.19448,1.19453,1.19412,1.19445
10/01/2018 23:45,1.19445,1.19463,1.19442,1.19462
10/01/2018 23:50,1.19462,1.1949,1.19457,1.19488
10/01/2018 23:55,1.19487,1.19487,1.19462,1.19467
11/01/2018 0:00,1.19468,1.19486,1.19446,1.19446
11/01/2018 0:05,1.19443,1.19446,1.19411,1.19428
11/01/2018 0:10,1.19429,1.19445,1.19429,1.1944
11/01/2018 0:15,1.19439,1.19481,1.19439,1.19478
11/01/2018 0:20,1.19477,1.19488,1.19472,1.19483
11/01/2018 0:25,1.19482,1.19492,1.19478,1.19492
11/01/2018 0:30,1.19492,1.19523,1.19485,1.19505
11/01/2018 0:35,1.19505,1.19527,1.19499,1.19523
11/01/2018 0:40,1.19524,1.19539,1.19508,1.19533
11/01/2018 0:45,1.19534,1.19539,1.19509,1.19509
11/01/2018 0:50,1.19508,1.19519,1.19486,1.19486
11/01/2018 0:55,1.19486,1.19533,1.19486,1.19522
11/01/2018 1:00,1.1952,1.1952,1.19492,1.195
11/01/2018 1:05,1.19499,1.19512,1.19475,1.19487
11/01/2018 1:10,1.19486,1.19506,1.19484,1.19488
11/01/2018 1:15,1.19487,1.19506,1.19444,1.19446
11/01/2018 1:20,1.19447,1.19462,1.19447,1.19457
11/01/2018 1:25,1.19457,1.19484,1.19452,1.19463
11/01/2018 1:30,1.19463,1.19464,1.19453,1.19458
11/01/2018 1:35,1.19459,1.19459,1.19423,1.19431
11/01/2018 1:40,1.19431,1.19444,1.1943,1.19434
11/01/2018 1:45,1.1943,1.1943,1.19363,1.19377
11/01/2018 1:50,1.19378,1.19425,1.1937,1.19414
11/01/2018 1:55,1.19413,1.19421,1.19398,1.19419
11/01/2018 2:00,1.19418,1.1947,1.19417,1.19463
11/01/2018 2:05,1.19462,1.19497,1.19462,1.19468
11/01/2018 2:10,1.19469,1.19477,1.19421,1.19444
11/01/2018 2:15,1.19447,1.19467,1.19432,1.1945
11/01/2018 2:20,1.19451,1.19461,1.19426,1.19449
11/01/2018 2:25,1.19448,1.1946,1.19423,1.19424
11/01/2018 2:30,1.19425,1.19441,1.19354,1.19366
11/01/2018 2:35,1.19365,1.19367,1.19318,1.19324
11/01/2018 2:40,1.19324,1.19325,1.19294,1.19307
11/01/2018 2:45,1.19306,1.19361,1.19306,1.19361
11/01/2018 2:50,1.19361,1.19385,1.19333,1.19384
11/01/2018 2:55,1.19382,1.19401,1.19375,1.19399
11/01/2018 3:00,1.19398,1.194,1.19325,1.19345
11/01/2018 3:05,1.19346,1.19408,1.19322,1.19381
11/01/2018 3:10,1.19383,1.1942,1.19383,1.1939
